Unnamed: 0,id,release_date,vote_average,vote_count,revenue,runtime,original_language,original_title,popularity
278,1865,2011/05/14,6.5,11352.0,1045713802.0,137.0,en,Pirates of the Caribbean: On Stranger Tides,164.123
279,8587,1994/06/23,8.3,14586.0,763455561.0,89.0,en,The Lion King,135.559
280,72190,2013/06/20,6.8,12458.0,531865000.0,116.0,en,World War Z,118.892
281,333339,2018/03/28,7.6,12141.0,582890172.0,140.0,en,Ready Player One,130.46
282,301528,2019/06/19,7.6,7466.0,1073394593.0,100.0,en,Toy Story 4,123.399
283,400155,2018/06/28,6.9,3332.0,528600000.0,97.0,en,Hotel Transylvania 3: Summer Vacation,133.111
284,216015,2015/02/11,5.9,9860.0,571006128.0,125.0,en,Fifty Shades of Grey,141.527
285,34851,2010/07/03,6.2,2963.0,127233108.0,107.0,en,Predators,131.253
286,38575,2010/06/10,6.5,4653.0,359126022.0,140.0,en,The Karate Kid,133.142
287,630586,2021/01/26,6.1,583.0,3777969.0,110.0,en,Wrong Turn,120.944
288,630520,2021/03/11,8.2,20.0,0.0,98.0,es,La noche mágica,
289,228150,2014/10/15,7.5,9440.0,211817906.0,135.0,en,Fury,142.06
290,118406,2012/07/28,7.6,616.0,17322136.0,109.0,ja,Road to Ninja: Naruto the Movie,133.295
291,75624,2011/07/30,7.2,316.0,0.0,108.0,ja,劇場版 NARUTO -ナルト- ブラッド・プリズン,127.505
292,730840,2021/07/21,8.0,196.0,0.0,106.0,en,Trollhunters: Rise of the Titans,130.153
293,340102,2020/08/26,6.3,2383.0,45534613.0,94.0,en,The New Mutants,127.816
294,808,2001/05/18,7.7,13065.0,487853320.0,90.0,en,Shrek,144.217
295,860425,2021/08/11,5.9,32.0,0.0,106.0,es,Sinaliento,123.674
